ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Esfuerzo Relativo,Desplazamiento al trabajo,Equipación de la actividad,Nombre del archivo
2086771841,16 nov. 2014 8:21:13,Mañana de Zurdilla,Bicicleta,Cruce Porzuna - Piedrabuena - Corral,15208,102.08,,false,,activities/2229254826.gpx.gz
2086780033,13 ene. 2019 9:30:37,Ciudad Real - Fuente el Fresno - Daimiel,Bicicleta,,12504,101.02,,false,,activities/2229263096.gpx.gz
2086783866,7 ene. 2019 10:19:47,Ciudad Real - Daimiel - Reventón,Bicicleta,,11205,90.44,,false,,activities/2229267058.gpx.gz
2086788393,12 oct. 2018 7:32:21,Cercedilla-Fuenfría-Cotos,Bicicleta,Sierra de Madrid,19452,65.07,,false,,activities/2229271632.gpx.gz
2086790581,26 may. 2018 6:08:35,Madrid - Segovia,Carrera,Madrid-Segovia,28434,115.07,,false,,activities/2229273814.gpx.gz
2086805308,1 may. 2015 6:07:25,Ciudad Real - Buendia,Bicicleta,Ciudad Real - Ciruelos del Pinar (I),36149,212.00,,false,,activities/2229289047.gpx.gz
2086805826,2 may. 2015 6:07:33,Buendía - Ciruelos del Pinar,Bicicleta,Ciudad Real - Ciruelos del Pinar (II),20636,118.22,,false,,activities/2229289569.gpx.gz
2109480424,27 ene. 2019 9:34:08,Piedrabuena - Picón,Bicicleta,,9671,65.76,,false,,activities/2252621911.gpx.gz
2113189393,30 ene. 2019 10:00:24,Piedrabuena - Alcolea,Bicicleta,,8542,67.16,,false,,activities/2256557055.gpx.gz
2121759076,3 feb. 2019 9:18:29,Ctra. Toledo cruce de Urda,Bicicleta,,11151,90.30,,false,,activities/2265406955.gpx.gz
2137040984,10 feb. 2019 9:10:56,Malagón - Los Quiles - Porzuna,Bicicleta,,12138,100.21,,false,,activities/2281176637.gpx.gz
2137040991,8 feb. 2019 16:11:34,Tarde con la zurdilla,Bicicleta,,6932,41.62,,false,,activities/2281176768.gpx.gz
2137057105,4 feb. 2019 16:07:07,Tarde con la zurdilla,Bicicleta,,7780,47.66,,false,,activities/2281176463.gpx.gz
2156406216,17 feb. 2019 9:33:24,Pinos Altos - Fernan Caballero - Torralba,Bicicleta,,9686,81.23,,false,,activities/2298332708.gpx.gz
2156423489,15 feb. 2019 16:04:52,Tarde de zurdilla,Bicicleta,,7153,41.80,,false,,activities/2298332368.gpx.gz
2156424228,11 feb. 2019 16:08:02,Tarde con la zurdilla,Bicicleta,,7224,43.74,,false,,activities/2298333164.gpx.gz
2163227202,19 feb. 2019 16:05:32,Tarde con la Zurdilla,Bicicleta,,7911,47.63,,false,,activities/2306202166.gpx.gz
2163227322,20 feb. 2019 16:12:52,Tarde con la Zurdilla,Bicicleta,,7253,42.73,,false,,activities/2306202302.gpx.gz
2172322265,24 feb. 2019 9:18:25,Daimiel - Bolaños - Almagro,Bicicleta,,10458,80.23,,false,,activities/2315588221.gpx.gz
2182082221,25 feb. 2019 16:11:00,Tarde de Zurdilla,Bicicleta,,8046,49.90,,false,,activities/2325601489.gpx.gz
2192896917,28 feb. 2019 15:26:38,Cruce Porzuna - Piedrabuena - Picón,Bicicleta,,7292,61.78,,false,,activities/2336741824.gpx.gz
2220225790,17 mar. 2019 8:49:45,Porzuna - El Robledo - Piedrabuena,Bicicleta,,13191,103.15,,false,,activities/2364862289.gpx.gz
2220225880,15 mar. 2019 16:05:25,Tarde de Zurdilla,Bicicleta,Valdarachas - Aldea Ciruela,8252,50.37,,false,,activities/2364862468.gpx.gz
2220226234,11 mar. 2019 16:08:37,Tarde de Zurdilla,Bicicleta,Alarcos - Albalá - Poblete,8848,50.31,,false,,activities/2364862667.gpx.gz
2220226414,8 mar. 2019 16:12:39,Tarde de Zurdilla,Bicicleta,Carrión - Torralba,8326,48.37,,false,,activities/2364862931.gpx.gz
